Machine_ID,Temperature,Run_Time,Downtime_Flag
25,134.37,1.83,0
40,75.4,10.08,0
14,53.11,22.41,0
25,123.93,3.89,0
50,60.63,17.95,0
22,81.49,23.42,0
30,50.38,2.2,0
20,118.17,16.69,1
21,66.71,11.77,0
44,115.53,14.32,0
32,149.17,2.96,0
46,57.27,1.99,1
49,57.71,16.34,0
21,84.04,19.94,0
35,136.64,18.99,0
32,71.55,13.51,0
30,86.04,3.3,0
39,56.85,16.83,0
49,126.32,6.56,1
12,90.83,21.95,0
41,125.92,20.28,0
47,140.36,17.32,0
18,73.28,22.82,0
21,130.74,1.72,0
13,55.91,17.93,1
21,139.88,8.6,0
8,115.08,21.84,0
46,137.42,7.13,0
40,50.02,17.67,0
46,66.91,21.19,0
7,88.98,1.96,0
23,87.95,10.15,0
44,72.67,18.53,0
32,88.16,11.46,0
11,62.88,7.15,1
22,91.28,6.06,0
22,130.24,4.02,0
43,97.91,20.71,0
25,51.8,14.23,0
22,92.14,2.76,0
28,52.72,9.8,1
29,146.62,9.46,0
13,62.75,5.18,0
18,120.77,11.02,0
2,147.28,8.64,0
29,132.6,8.86,0
21,119.93,18.0,0
15,133.95,6.14,0
27,148.18,15.76,0
50,112.13,14.12,0
31,105.92,14.07,0
15,112.82,16.25,0
23,103.27,13.61,0
24,113.51,21.22,1
44,94.98,16.54,0
13,71.84,13.58,0
22,62.02,20.08,0
43,56.83,14.94,0
37,76.33,7.7,0
33,54.61,5.76,0
3,106.72,4.5,0
19,78.38,21.69,1
23,132.45,17.33,0
29,57.42,22.56,0
30,72.64,14.88,0
39,123.02,11.89,0
44,109.88,2.37,0
47,56.45,16.45,0
25,137.72,14.39,0
37,137.73,23.77,0
47,83.04,6.5,0
8,84.04,13.21,0
42,148.9,15.97,0
16,112.62,15.83,0
8,103.13,13.91,1
1,133.82,18.87,0
44,78.53,5.71,0
5,92.92,17.69,1
3,76.78,15.25,0
1,128.92,21.61,0
4,107.33,20.49,0
40,115.88,8.25,0
35,75.23,7.35,0
32,72.02,23.58,0
42,98.84,13.13,0
34,123.76,21.85,0
43,102.52,4.77,1
25,53.26,15.78,0
10,136.86,19.63,0
21,56.47,22.79,1
46,145.58,8.76,0
39,52.51,17.67,1
27,119.45,13.39,0
27,58.22,2.39,0
